"# of Use","počet použití"
"%1$s incl tax.","%1$s s daní."
"%s - %s","%s - %s"
"%s Item(s)","položek: %s"
"An error occurred while adding products to websites.","Chyba při přidávání produktů."
"An error occurred while clearing comparison list.","Chyba při mazání seznamu porovnání."
"An error occurred while removing products from websites.","Chyba při odstrańování produktů."
"An error occurred while saving the URL rewrite.","Chyba při ukládání URL rewrite."
"An error occurred while saving the attribute set.","Chyba při ukládání množiny atributů."
"An error occurred while saving the collection, aborting. Error message: %s","Chyba při ukládání kolekce, přerušuji. Chyba: %s"
"An error occurred while saving the product. ","Chyba při ukládání produktu. "
"An error occurred while saving the search query.","Chyba při ukládání dotazu pro vyhledávání."
"An error occurred while saving this group.","Chyba při ukládání skupiny."
"An error occurred while trying to delete the category.","Chyba při snaze o smazání kategorie."
"An error occurred while updating the product(s) attributes.","Chyba při upravování atributu produktu."
"An error occurred while updating the product(s) status.","Chyba při upravování atributu stavu produktu."
"An invalid option ID is specified for %s (%s), skipping the record.","Bylo specifikováno neplatné id volby pro %s (%s), záznam vynechán."
"An invalid store was specified.","Chybně specifikovaný obchod."
"Anchor Custom Text","Vlastní text kotvy"
"Anchor Custom Title","Vlastní nadpis kotvy"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes."
"Apply To","Použít na"
"Approved","Schválený"
"Are you sure you want to delete this category?","Jste si jisti, že chcete smazat tuto kategorii?"
"Are you sure you would like to remove all products from your comparison?","Jste si jisti, že chcete odstranit všechny položky k porovnání?"
"Are you sure you would like to remove this item from the comparison list?","Jste si jisti, že chcete odebrat tuto položku z porovnávaných produktů?"
"Are you sure?","Jste si jisti?"
"As low as:","Nejméně:"
"Assign","Přiřadit"
"Assign product link","Odkaz na přiřazený produkt"
"Assign product to category","Zařadit produkt do kategorie"
"Assigned Products","Přiřazené produkty"
"Associated Products","Související produkty"
"Attrib. Set Name","Název množiny vlastností"
"Attribute ""%s"" is invalid.","Vlastnost ""%s"" je vyžadován neplatnád."
"Attribute ""%s"" is required.","Vlastnost ""%s"" je vyžadována."
"Attribute Information","Informace o vlastnosti"
"Attribute Model","Model vlastnosti"
"Attribute Name:","Název vlastnosti:"
"Attribute Set","Sada vlastností"
"Attribute group with the \"/name/\" name already exists","Vlastnost skupiny se jménem \""/name/\"" již existuje"
"Attribute with the same code already exists","Vlastnost se stejným kódem již existuje"
"Attributes","Vlastnosti"
"Attrribute names can be specified per store.","Vlastnost jméno může být specifické pro každý obchod."
"Autogenerate","Vygenerovat automaticky"
"Availability:","Dostupnost:"
"Back","Zpět"
"Backend Model","Model backend-u"
"Backend Table","Tabulka backend-u"
"Backend Table Title","Nadpis tabulky backend-u"
"Backorders","Zpětné objednávky"
"Based On","Založeno na"
"Best Value","Nejlepší hodnota"
"Block after Info Column","Blok za informačním sloupcem"
"Bottom Block Options Wrapper","Bottom Block Options Wrapper"
"Bottom/Left","Dole/vlevo"
"Bottom/Right","Dole/vpravo"
"Browse By","Procházet podle"
"Buy %1$s for %2$s","Koupit %1$s za %2$s kus"
"Buy %1$s for %2$s (%3$s incl. tax) each","Koupit %1$s za %2$s (%3$s s daní) kus"
"Buy %1$s for %2$s each","Koupit %1$s za %2$s kus"
"Cache Lifetime (Seconds)","Životnost cache (v sekundách)"
"Cache refresh needed.","Je potřeba obnovit Cache."
"Can be used only with catalog input type Dropdown","Může být použito pouze s katalogovým vstupem typu ""rozbalovací menu"""
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Může být použito pouze s katalogovým vstupem typu rozbalovací menu, Vícenásobný výběr a Cena"
"Cannot create image.","Nelze vytvořit obrázek."
"Cannot create writeable directory '%s'.","Nelze vyrobit zapisovatelný adresář '%s'."
"Cart Item Attribute","Vlastnosti položky košíku"
"Catalog","Katalog"
"Catalog Category (Anchor)","Kategorie katalogu (kotva)"
"Catalog Category (Non-Anchor)","Kategorie katalogu (není kotva)"
"Catalog Category (Without Subcategories)","Kategorie katalogu (bez podkategorií)"
"Catalog Category Link","Kategorie katalogu - odkaz"
"Catalog New Products List","Seznam nových produktů"
"Catalog Price Scope","Rozsah katalogových cen"
"Catalog Product Compare List","Seznam porovnávaných produktů"
"Catalog Product Email to a Friend","Poslat známému"
"Catalog Product Image Gallery Popup","Vyskakovací obrázková galerie produktů"
"Catalog Product Link","Katalogový produkt - odkaz"
"Catalog Product View (Any)","Zobrazit všechny produkty"
"Catalog Product View (Configurable)","Zobrazit konfigurovatelné"
"Catalog Product View (Grouped)","Zobrazit skupiny produktů"
"Catalog Product View (Simple)","Zobrazit jednoduché produkty"
"Catalog Product View (Virtual)","Zobrazit virtuální produkty"
"Catalog Section","Katalog"
"Catalog Seo Popular Search Terms","Seo katalog nejvyhledávanějších výrazů"
"Catalog Seo Sitemap (Category List)","Seo mapa stránek (seznam kategorií)"
"Catalog Seo Sitemap (Category Tree)","Seo mapa stránek (strom kategorií)"
"Catalog Seo Sitemap (Common)","Společný Katalog (SEO mapa)"
"Catalog Seo Sitemap (Product List)","Seo mapa produktů"
"Catalog URL Rewrites","Přepis katalogových url"
"Catalog, Search","Katalogu, Vyhledávání"
"Categories","Kategorie"
"Categories Sitemap","Mapa kategorií"
"Category","Kategorie"
"Category API","API kategorií"
"Category Data","Data kategorie"
"Category Flat Data","Sloučit data kategorií"
"Category Link Block Template","Šablona bloku odkazů na kategorie"
"Category Link Inline Template","Category Link Inline Template"
"Category Products","Kategorie Produkty"
"Category Top Navigation","Navigace kategorií"
"Category URL Suffix","Přípona URL kategorie"
"Category attributes API","API vlastností kategorií"
"Category move error","Chyba při přesunu kategorie"
"Category move operation is not possible: the new parent category was not found.","Přesun kategorie není možný. Nová kořenová kategorie nenalezena."
"Category must be an instance of Mage_Catalog_Model_Category.","Kategorie musí být instancí Mage_Catalog_Model_Category."
"Center","Střed"
"Change","Změna"
"Change or Retrieve attribute store view","Změna nebo načtení vlastností pohledu obchodu"
"Change status","Změnit stav"
"Check items to add to the cart or","Vybrat položku pro přidání do košíku, nebo"
"Choose an Option...","Vyberte možnost..."
"Clear All","Vymazat vše"
"Close Window","Zavřít okno"
"Collapse All","Sbalit vše"
"Comma-separated.","Oddělené čárkami."
"Comparable","Porovnavatelný"
"Comparable on Front-end","Porovnavatelný na přední straně"
"Comparable on the Frontend","Porovnavatelný na přední straně"
"Compare","Porovnat"
"Compare Products","Porovnat produkty"
"Conditions Combination","Kombinace podmínek"
"Configurable Product","Nastavitelný produkt"
"Configurable Product Settings","Nastavení konfigurovatelných produktů"
"Continue","Pokračovat"
"Copy From Configurable","Zkopírovat z konfigurovatelný"
"Country/State","Země/stát"
"Create","Vytvořit"
"Create (Upload)","Vytvořit (Nahrát)"
"Create Empty","Vytvořit prázdné"
"Create Permanent Redirect for old URL","Vytvořit permanentní přesměrování pro starou URL"
"Create Permanent Redirect for old URLs if Url key changed","Vytvořit permanentní přesměrování pro starou URL pokud se Url klíč změnil"
"Create Product Settings","Vytvořit nastavení produktu"
"Create Simple Associated Product","Vytvořit jednoduchý přiřazený produkt"
"Create new category","Vytvořit novou kategorii"
"Create new product","Vytvořit nový produkt"
"Cross-sells","Související"
"Currently Shopping By","Nakupovat dle"
"Custom Design","Uživatelský vzhled"
"Custom Options","Vlastní možnosti"
"Customer Group","Skupina zákazníků"
"Customers Reviews","Zákaznické recenze"
"Customers Tagged Product","Zákaznický popis produktu"
"Customers for alert %s were successfuly added to queue","Zákazníci pro zprávy %s byli úspěně přidány do fronty"
"Data Type for Saving in Database","Typ dat pro ukládání do databáze"
"Date & Time Custom Options","Vlastní možnosti Data a Času"
"Date Fields Order","Řazení položek data"
"Date Subscribed","Předplacený od"
"Datetime","Datum a čas"
"Decimal","Desetinný"
"Declare attribute value saving scope","Rozsah deklarovaných hodnot atributů uložen"
"Default Price","Výchozí cena"
"Default Qty","Výchozí Množství"
"Default Values","Výchozí hodnota"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"")."
"Delete","Smazat"
"Delete Attribute","Smazat vlastnost"
"Delete Attribute Set","Smazat množinu vlastností"
"Delete Category","Smazat kategorii"
"Delete Option","Smazat možnost"
"Delete Row","Smazat řádek"
"Delete Search","Smazat hledání"
"Delete Selected Group","Smazat označenou skupinu"
"Delete category","Smazat kategorii"
"Delete product","Smazat produkt"
"Depends on design theme","Závisí na grafickém vzhledu"
"Design","Vzhled"
"Details","Detaily"
"Disabled","Neaktivní"
"Disallowed file type.","Nepovolený typ souboru."
"Display in Suggested Terms","Zobrazit v nabízených výrazech"
"Double click on a group to rename it","Pro přejmenování skupiny použijte dvojklik"
"Double click on above image to view full picture","Dvojklikem na obrázek ho zobrazíte v plné velikosti"
"Duplicate","Kopírovat"
"Duplicate website tier price customer group and quantity.","Duplikovat řadu cen zákaznických skupin a množství."
"Duplicate website, country and state tax found.","Duplicitní stránky, daně pro země a stát nenalezeny."
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Např. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance."
"Edit","Upravit"
"Edit Attribute Set '%s'","Upravit množinu vlastností '%s'"
"Edit Product Attribute","Upravit vlastnosti produktu"
"Edit Product Attribute ""%s""","Upravit vlastnosti produktu ""%s"""
"Edit Search","Upravit hledání"
"Edit Search '%s'","Upravit hledání '%s'"
"Edit Set Name","Upravit jméno množiny"
"Email","E-mail"
"Email to %s was not sent.","Email pro %s nebyl odeslán."
"Email to a Friend","Poslat známému"
"Empty","Prázdné"
"Enable Qty Increments","Enable Qty Increments"
"Enable WYSIWYG","Povolit WYSIWYG"
"Enabled","Aktivní"
"Error during retrieval of option value: %s","Chyba během příjmu hodnoty volby: %s"
"Exclude","Vyřadit"
"Expand All","Rozbalit vše"
"Failed","Neúspěšný"
"Failed to move file: %s","Chybné přesouvání souboru: %s"
"Feature Products","Hlavní produkty"
"Field is not complete","Pole není kompletní"
"File options format is not valid.","Formát souboru není povolený."
"File upload failed","Chyba při nahrávání souboru"
"Filter model name must be declared.","Filt jména modelu musí být deklarován."
"Filter must be an object. Please set correct filter.","Filt musí být objekt. Opravte prosím filtr."
"Filterable (no results)","Filtrovatelné (nevracet výsledky)"
"Filterable (with results)","Filtrovatelné (s výsledky)"
"First Name","Jméno"
"Fixed","Pevné"
"For internal use.","Pro vnitřní použití."
"Frontend","Čelní"
"Frontend Model","Přední model"
"Frontend Properties","Přední vlastnosti"
"Gallery","Galerie"
"General Information","Všeobecné informace"
"Get special price","Speciální cena"
"Global","Globální"
"Globally Editable","Globálně upravitelný"
"Go to Home Page","Na hlavní stránku"
"Grid","Tabulka"
"Grouped Product","Skupina produktů"
"Groups","Skupiny"
"Home","Domů"
"ID","ID"
"ID: %s","ID: %s"
"If empty, the Product Name will be used","Pokud ponecháte prázdné, použije se jméno produktu"
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Pokud nespecifikujete vlastnost pro obchod, bude použita výchozí hodnota."
"Image","Obrázek"
"Image does not exist.","Obrázek neexistuje."
"Image file was not found.","Obrázek nenalezen."
"Image type and information need to be specified for each store view.","Typ a informace o obrázku musí být specifikovány pro každý obchod."
"In Stock","Skladem"
"In stock","Skladem"
"Incl. Tax","S daní"
"Index product and categories URL rewrites","Index produktu a url alias kategorií"
"Index product attributes for layered navigation building","Index product attributes for layered navigation building"
"Index product prices","Index ceny produktu"
"Indexed category/products association","Vazby indexů kategorií/produktů"
"Info Column Options Wrapper","Info Column Options Wrapper"
"Input Type","Vstupní typ"
"Integer","Celé číslo"
"Invalid Tier Prices","Chybné slevy"
"Invalid attribute %s.","Chybná vlastnost %s."
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Byla specifikována neplatná volba pro atribut %s (%s), záznam vynechán."
"Invalid attribute set specified, skipping the record.","Byla specifikována neplatná sada atributů, záznam vynechán."
"Invalid block: %s.","Neplatný blok: %s."
"Invalid category IDs.","Chybné ID kategorie."
"Invalid category.","Chybná kategorie."
"Invalid image file type.","Chybný typ obrázku."
"Invalid image type.","Chybný typ obrázku."
"Invalid option ID specified for %s (%s), skipping the record.","Chybná volba ID specifikována pro %s (%s), záznam vynechán."
"Invalid product type specified, skipping the record.","Neplatný typ produktu, záznam vynechán"
"Invalid store specified","Byl vybrán neplatný obchod."
"Invalid store specified, skipping the record.","Byl vybrán neplatný obchod, záznam vynechán."
"Invalid tier prices. The product is not associated to the requested website.","Chybná sleva. Produkt není přiřazen k vyžadované stránce."
"Invalid transactional email code.","Chybný kód transakčního emailu"
"Inventory","Sklad"
"Is Default","Je výchozí"
"Is Required","Je vyžadováno"
"Items %s to %s of %s total","Položky <strong>%s</strong> až <strong>%s</strong> z celkem <strong>%s</strong>"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Položky, které nechcete zobrazovat v katalogu nebo vyhledávání musí mít status ""Vypnuto"" v požadovaném obchodě."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Položky, které nechcete zobrazovat v katalogu nebo vyhledávání musí mít status ""Vypnuto"" v požadovaném obchodě."
"Keep your eyes open for our special Back to School items and save A LOT!","Podívejte se na naší speciální akci ""Zpět do školy"" a ušetřete."
"Label","Nadpis"
"Last Name","Příjmení"
"Last Notification","Poslední zpráva"
"Learn More","Dozvědět se více"
"Line %d, Email: %s","Řádek %d, email: %s"
"Line %d, SKU: %s","Řádek %d, SKU: %s"
"Link (Related, Up sell, Cross sell)","Odkaz (Odpovídající, Up sell, Cross sell)"
"Link product does not exist.","Odkaz na produkt neexistuje."
"Link to a Specified Category","Odkaz na specifickou kategorii."
"Link to a Specified Product","Odkaz na specifický produkt"
"List","Seznam"
"List Mode","Typ seznam"
"List of Products that are set as New","Seznam produktů které mají být nastaveny jako Novinky"
"Manage Attribute Sets","Spravovat množinu vlastností"
"Manage Attributes","Správa vlastností"
"Manage Catalog Categories","Správa kategorií katalogu"
"Manage Categories","Správa kategorií"
"Manage Label / Options","Správa Nadpisů / Možností"
"Manage Options (values of your attribute)","Správa možností (hodnoty pro vlastnosti)"
"Manage Product Attributes","Správa vlastností produktu"
"Manage Product Sets","Spravovat množinu produktů"
"Manage Products","Spravovat produkty"
"Manage Stock","Spravovat sklad"
"Manage Titles (Size, Color, etc.)","Spravovat nadpisy (Velikost, Barva, atd.)"
"Max Characters","Maximálně znaků"
"Maximal Depth","Maximální hloubka"
"Maximum Image Size","Maximální velikost obrázku"
"Maximum Qty Allowed in Shopping Cart","Maximální dovolené množství v košíku"
"Maximum image height","Maximální výška obrázku"
"Maximum image width","Maximální šířka obrázku"
"Maximum number of characters:","Maximální počet znaků:"
"Media Image","Obrázek médií"
"Minimum Lines per Page","Minimum řádek na stránku"
"Minimum Qty Allowed in Shopping Cart","Minimální množství dovolené v košíku"
"Minimum Qty for Item\'s Status to be Out of Stock","Minimální množství pro stav Vyprodáno"
"Missing SKU, skipping the record.","Chybějící SKU, záznam vynechán."
"More Views","Více pohledů"
"Move","Přesunout"
"Move category in tree","Přesunout kategorii ve stromě"
"Must be in the allowed values list.","Musí být v seznamu povolených hodnot."
"Name","Jméno"
"Name in %s","Jméno je: %s"
"New Category","Nová kategorie"
"New Product","Nový produkt"
"New Product Attribute","Nová vlastnost produktu"
"New Products","Nové produkty"
"New Products Grid Template","Nová šablona tabulky produktů"
"New Products List Template","Nová šablona seznamu produktů"
"New Search","Nové hledání"
"New Set Name","Nový název množiny"
"Next","Další"
"No","Ne"
"No image","Žádný obrázek"
"No layout updates","pohled neaktualizován"
"No layout updates.","pohled neaktualizován."
"No options of this product are available.","Tento produkt nemá žádné dostupné možnosti."
"No product collections found.","Kolekce produktů nenalezeny."
"None","Žádné"
"Not Visible Individually","Nezobrazovat individuální"
"Notify Low Stock RSS","RSS pro upozornění na nízký stav zásob"
"Notify for Quantity Below","Upozornit pro množství menší než"
"Number of Products to Display","Počet produktů pro zobrazení"
"Number of Uses","Počet uživatelů"
"Number of results<br/>(For the last time placed)","Počet výsledků<br/>(Pro poslední umístění)"
"OR","NEBO"
"Old Price:","Původní cena:"
"Option validation failed to add product to cart.","Ověření vlastností selhalo pro přidání produktu do košíku."
"Option:","Volba:"
"Options Control","Nastavení možností"
"Options is required","Nastavení je vyžadováno"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Náš zákaznický servis je dostupný 24/7. Volejte na (800) DEMO-NUMBER."
"Out of Stock","Není skladem"
"Out of stock","Není skladem"
"PM","Odp."
"Page Title Separator","Oddělovač nadpisu stránek"
"Parent Category","Nadřazená kategorie"
"Pending","Čekající"
"Pending Reviews RSS","RSS pro nevyřešené hodnocení"
"Percentage","Procento"
"Please add rows to option.","Prosím přidejte řádky do možností."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Prosím buďte opatrní, jak jednou klepnete na řádek, budou načtena data z vybraného souboru, všechna neuložená data budou ztracena."
"Please click on the Close Window button if it is not closed automatically.","Prosím klikněte na X (zavřít), pokud se okno nezavře automaticky."
"Please enter a new group name","Zadejte nové jméno skupiny"
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","Prosím obnovte ""Přepis url katalogu"" a ""Vlastnosti produktu"" v Systém -> <a href=""%s"">Správa indexů</a>"
"Please select a static block ...","Vyberte prosím statický blok ..."
"Please select items.","Označte produkt/produkty."
"Please select one or more attributes.","Označte jednu nebo více vlastností."
"Please select product(s).","Označte produkt/produkty."
"Please select products for attributes update","Označte produkty pro upravení vlastností"
"Please specify date required option(s).","Prosím specifikujte vyžadované vlastnosti data."
"Please specify the product required option(s)","Prosím zadejte požadované možnost(i) produktu"
"Please specify the product required option(s).","Prosím zadejte požadované možnost(i) produktu."
"Please specify the product\'s option(s).","Prosím zadejte možnost(i) produktu."
"Please specify the product\'s required option(s).","Prosím specifikujte vyžadované možnosti produktu."
"Please specify the quantity of product(s).","Prosím specifikujte množství produktů"
"Please specify time required option(s).","Prosím specifikujte vyžadované vlastnosti času."
"Position","Pozice"
"Position in Layered Navigation","Umístění ve vrstvě navigace"
"Position of attribute in layered navigation block","Umístění atributu ve vrstvě navigačního bloku"
"Prev","Předchozí"
"Previous","Předchozí"
"Price","Cena"
"Price Type","Typ ceny"
"Price is not available","Cena není dostupná"
"Price values for options should be specified in system base currency.","Nastavení hodnoty ceny může být specifikováno v systému ve výchozí měně."
"Price:","Cena:"
"Print This Page","Vytisknout tuto stránku"
"Product","Produkty"
"Product API","API Produktů"
"Product Alerts","Výstrahy pro produkt"
"Product Attribute","Vlastnost produktu"
"Product Attributes","Vlastnost produktu"
"Product Categories","Kategorie produktu"
"Product Description","Popis produktu"
"Product Flat Data","Sloučit data produktů"
"Product Image Placeholders","Náhrada obrázků produktu"
"Product Image Watermarks","Vodoznak obrázků produktu"
"Product Images","Obrázky produktů"
"Product Images API","API obrázků produktů"
"Product In Websites","Produkt na webových stránkách"
"Product Info Column","Informační sloupec produktu"
"Product Information","Informace o produktu"
"Product Link Block Template","Šablona bloku odkazů na produkty"
"Product Link Inline Template","Šablona vnořených odkazů na produkty"
"Product Listing Sort by","Výpis produktů řadit dle"
"Product Name","Název produktu"
"Product Prices","Ceny produktu"
"Product Reviews","Recenze produktů"
"Product Tags","Štítky produktu"
"Product Tier Price API","API slev produktu"
"Product Type","Typ produktu"
"Product URL Suffix","Přidat na konec URL produktu"
"Product View Extra Hint","Product View Extra Hint"
"Product attribute sets API","API množiny vlastností produktu"
"Product attributes API","API vlastností produktu"
"Product collection expected.","Byla očekávána kolekce produktů."
"Product links API (related, cross sells, up sells)","Odkazy API produktů (odpovídající, cross sells, up sells)"
"Product types API","API typu produktu"
"Product with this combination of attributes already associated to configurable.","Produkt s kombinací těchto vlastností už je asociován ke konfiguraci."
"Products","Produkty"
"Products Comparison List","Seznam porovnávaných produktů"
"Products Information","Informace o produktu"
"Products Reviews","Recenze produktů"
"Products Sitemap","Mapa produktů"
"Products only","Pouze produkty"
"Products per Page on Grid Allowed Values","Povolené hodnoty pro tabulku produktů na stránku"
"Products per Page on Grid Default Value","Výchozí hodnota pro počet produktů na stránce pro tabulku"
"Products per Page on List Allowed Values","Povolené hodnoty pro seznam produktů na stránku"
"Products per Page on List Default Value","Výchozí hodnota pro počet produktů na stránce pro seznam"
"Properties","Vlastnosti"
"Qty","Množství"
"Qty Increments","Qty Increments"
"Qty Uses Decimals","Množství používá desetiny"
"Qty for Item\'s Status to become Out of Stock","Minimální množství pro stav Vyprodáno"
"Qty:","Množství:"
"Quantity","Množství"
"Quick Create","Rychlé vytvoření"
"Quick Overview","Rychlý přehled"
"Quick simple product creation","Rychlé vytvoření jednoduchého produktu"
"Records for ""","Záznamy pro """
"Redirect","Přesměrování"
"Redirect URL","Přesměrování URL"
"Regular Price:","Běžná cena:"
"Related Products","Související produkty"
"Remove","Odstranit"
"Remove Product From Websites","Odstranit produkt ze stránek"
"Remove This Item","Odstranit tuto položku"
"Remove product assignment","Odstranit přiřazení produktu"
"Remove product image","Odstranit obrázek produktu"
"Remove product link","Odstranit odkaz produktu"
"Reorganize EAV category structure to flat structure","Přeorganizovat strukturu EAV kategorie na strukturu flat (sloučené)"
"Reorganize EAV product structure to flat structure","Přeorganizovat strukturu EAV produktů na strukturu flat (sloučené)"
"Reset","Vynulovat"
"Results","Výsledky"
"Retrieve attribute data","Načíst data atributů"
"Retrieve attribute list","Získat seznam vlastností"
"Retrieve attribute options","Získat možnosti vlastností"
"Retrieve categories tree","Získat strom kategorií"
"Retrieve category attributes","Získat vlastnosti kategorie"
"Retrieve category data","Získat data kategorie"
"Retrieve hierarchical tree","Získat hierarchický strom"
"Retrieve linked products","Získat odkazy produktů"
"Retrieve list of assigned products","Získat seznam přiřazených produktů"
"Retrieve one level of categories by website/store view/parent category","Získat jednu vrtstvu z kategorií ze stránek/obchodu pohled/rodičovská kategorie"
"Retrieve product","Získat produkt"
"Retrieve product attribute sets","Získat množinu vlastností produktu"
"Retrieve product image","Získat obrázek produktu"
"Retrieve product image list","Obdržet seznam obrázků produktu"
"Retrieve product image types","Získat typ obrázku produktu"
"Retrieve product link type attributes","Získat typy vlastností odkazu produktů"
"Retrieve product link types","Získat typ odkazu produktu"
"Retrieve product tier prices","Získat slevy produktu"
"Retrieve product types","Získat typy produktu"
"Retrieve products data","Získat data produktu"
"Retrieve products list by filters","Získat seznam filtrovaných produktů"
"Reviews","Recenze"
"Roll Over for preview","Otočit pro náhled"
"Root","Kořen"
"SKU","SKU"
"Save","Uložit"
"Save Attribute","Uložit vlastnosti"
"Save Attribute Set","Uložit množinu vlastností"
"Save Category","Uložit kategorii"
"Save Search","Uložit hledání"
"Save and Continue Edit","Uložit a pokračovat v úpravách"
"Saved %d record(s)","Uloženo záznamů: %d"
"Scope","Rozsah"
"Search","Hledání"
"Search Engine Optimizations","Optimalizace pro vyhledávání"
"Search Information","Informace o hledání"
"Search Query","Vyhledávací dotaz"
"Search Term with such search query already exists.","Vyhledávaný výraz s tímto dotazem již existuje."
"Searchable","Prohledávatelný"
"Select Category...","Vybrat kategorii..."
"Select Configurable Attributes ","Vybrat nastavitelné vlastnosti"
"Select Product...","Vybrat produkt..."
"Select type of option","Vyberte typ možnosti"
"Select type options required values rows.","Vyberte požadované hodnoty řádků."
"Selected Product Types","Vybrané typy produktů"
"Selected configuration is not available.","Vybraná konfigurace není dostupná."
"Send Count","Odeslat množství"
"Set Ascending Direction","Nastavit vzestupně"
"Set Descending Direction","Nastavit sestupně"
"Set Name","Nastavit jméno"
"Set Root Category for Store","Nastavit hlavní kategorii pro obchod"
"Set root category for this store in the <a href=""%s"">configuration</a>","Nastavte hlavní kategorii pro tento obchod v <a href=""%s"">nastavení</a>"
"Set special price","Nastavit speciální cenu"
"Set/Get current store view","Nastavit/získat pohled aktuálního obchodu"
"Settings","Nastavení"
"Shop By","Nakupovat podle"
"Shopping Options","Nákupní volby"
"Show","Ukázat"
"Show Details","Zobrazit detaily"
"Show Tags","Ukázat štítky"
"Simple Product","Jednoduchý produkt"
"Site Map","Mapa stránek"
"Sitemap","Mapa stránek"
"Skip import row, is not valid value ""%s"" for field ""%s""","Přeskakuji import řádků, neplatná hodnota ""%s"" pro pole ""%s"""
"Skip import row, required field ""%s"" for the new customer is not defined.","Přeskakuji import řádků, vyžadované pole ""%s"" pro nového zákazníka není definováno."
"Skip import row, the value ""%s"" is invalid for field ""%s""","Přeskakuji import řádků, hodnota ""%s"" je chybná pro pole ""%s"""
"Skipping import row, required field ""%s"" for new products is not defined.","Přeskočen import řádků, požadované pole ""%s"" pro nový produkt není definován."
"Skipping import row, required field ""%s"" is not defined.","Přeskočen import řádků, požadované pole ""%s"" nejsou definované."
"Skipping import row, store ""%s"" field does not exist.","Přeskakuji import řádek, obchod ""%s"" pole neexistuje."
"Skipping import row, the value ""%s"" is not valid for the ""%s"" field.","Přeskakuji import řádků, hodnota ""%s"" je chybná pro pole ""%s""."
"Some of the products below do not have all the required options. Please remove them and add again with all the required options.","Některý z produktů uvedených níže neobsahuje všechny vyžadované položky. Prosím odstraňte je a přidejte znovu s vyžadovanými parametry."
"Sort By","Seřadit podle"
"Sort Order","Pořadí objednávek"
"Source Model","Zdrojový model"
